datetime,bitmex-BTC-available-balance,bitmex-BTC-balance,bitmex-BTC-balance-in-USD,bitmex-BTC-price,bitmex-EOS/BTC-fill,bitmex-EOS/BTC-leverage,bitmex-EOS/BTC-position,bitmex-EOS/BTC-position-in-BTC,bitmex-EOS/BTC-position-in-USD,bitmex-EOS/BTC-price,bitmex-total-position-in-BTC,bitmex-total-position-in-USD,fee,total,total-in-USD,returns,equity_curve,drawdown
2019-01-03 09:12:00,1.3611588220743958,1.3611588220743964,5290.143761992142,3886.5,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5290.143761992142,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 09:13:00,1.3611588220743958,1.3611588220743964,5287.421444347993,3884.5,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5287.421444347993,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 09:14:00,1.3611588220743958,1.3611588220743964,5292.185500225253,3888.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5292.185500225253,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 09:15:00,1.3611588220743958,1.3611588220743964,5292.86607963629,3888.5,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5292.86607963629,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 09:16:00,1.3611588220743958,1.3611588220743964,5293.546659047328,3889.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5293.546659047328,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 09:17:00,1.3611588220743958,1.3611588220743964,5293.546659047328,3889.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5293.546659047328,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 09:18:00,1.3611588220743958,1.3611588220743964,5293.546659047328,3889.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5293.546659047328,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 09:19:00,1.3611588220743958,1.3611588220743964,5293.546659047328,3889.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5293.546659047328,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 09:20:00,1.3611588220743958,1.3611588220743964,5292.86607963629,3888.5,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5292.86607963629,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 09:21:00,1.3611588220743958,1.3611588220743964,5288.782603170067,3885.5,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5288.782603170067,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 09:22:00,1.3611588220743958,1.3611588220743964,5288.10202375903,3885.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5288.10202375903,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 09:23:00,1.3611588220743958,1.3611588220743964,5282.657388470732,3881.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5282.657388470732,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 09:24:00,1.3611588220743958,1.3611588220743964,5286.740864936955,3884.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5286.740864936955,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 09:25:00,1.3611588220743958,1.3611588220743964,5283.33796788177,3881.5,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5283.33796788177,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 09:26:00,1.3611588220743958,1.3611588220743964,5281.2962296486585,3880.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5281.2962296486585,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 09:27:00,1.3611588220743958,1.3611588220743964,5282.657388470732,3881.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5282.657388470732,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 09:28:00,1.3611588220743958,1.3611588220743964,5276.5321737713975,3876.5,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5276.5321737713975,0.0,1.0026295883399996,0.00010982706000017828
