datetime,bitmex-BTC/USD-fill,bitmex-BTC/USD-price,bitmex-ETH/USD-fill,bitmex-ETH/USD-price,cash,commission,total,bitmex-BTC/USD,bitmex-ETH/USD,returns,equity_curve,drawdown
2019-03-28 13:16:00,,3997.0,,140.47,107431.81268710812,1847.7702581065441,107431.81268710812,0.0,0.0,0.0,1.0743181268710833,7.412719279509261e-05
2019-03-28 13:17:00,,3997.5,,140.47,107431.81268710812,1847.7702581065441,107431.81268710812,0.0,0.0,0.0,1.0743181268710833,7.412719279509261e-05
2019-03-28 13:18:00,,3997.5,,140.47,107431.81268710812,1847.7702581065441,107431.81268710812,0.0,0.0,0.0,1.0743181268710833,7.412719279509261e-05
2019-03-28 13:19:00,,3997.5,,140.46755022,107431.81268710812,1847.7702581065441,107431.81268710812,0.0,0.0,0.0,1.0743181268710833,7.412719279509261e-05
2019-03-28 13:20:00,,3997.0,,140.46,107431.81268710812,1847.7702581065441,107431.81268710812,0.0,0.0,0.0,1.0743181268710833,7.412719279509261e-05
2019-03-28 13:21:00,,3997.0,,140.4,107431.81268710812,1847.7702581065441,107431.81268710812,0.0,0.0,0.0,1.0743181268710833,7.412719279509261e-05
2019-03-28 13:22:00,,3996.5,,140.38906,107431.81268710812,1847.7702581065441,107431.81268710812,0.0,0.0,0.0,1.0743181268710833,7.412719279509261e-05
2019-03-28 13:23:00,,3996.5,,140.32,107431.81268710812,1847.7702581065441,107431.81268710812,0.0,0.0,0.0,1.0743181268710833,7.412719279509261e-05
2019-03-28 13:24:00,,3996.0,,140.21,107431.81268710812,1847.7702581065441,107431.81268710812,0.0,0.0,0.0,1.0743181268710833,7.412719279509261e-05
2019-03-28 13:25:00,SELL,3995.5,BUY,140.21,107424.38292103227,1855.2000241824078,107437.82534003718,-107418.37026810322,107431.81268710812,5.596715515321371e-05,1.0743782534003739,1.4000663504543098e-05
2019-03-28 13:26:00,,3991.0,,140.14,107424.38292103227,1855.2000241824078,107505.17165791738,-107297.38849705918,107378.17723394428,0.0006268399203637198,1.0750517165791758,0.0
2019-03-28 13:27:00,,3993.5,,140.15,107424.38292103227,1855.2000241824078,107445.62177048776,-107364.60059208365,107385.83944153914,-0.0005539257926967522,1.0744562177048795,0.0005954988742962186
2019-03-28 13:28:00,,3993.5,,140.13,107424.38292103227,1855.2000241824078,107430.29735529808,-107364.60059208365,107370.51502634946,-0.00014262484536053943,1.0743029735529828,0.0007487430261929884
2019-03-28 13:29:00,,3994.0,,140.14,107424.38292103227,1855.2000241824078,107424.51714388802,-107378.04301108854,107378.17723394428,-5.3804294992798596e-05,1.074245171438882,0.0008065451402936574
2019-03-28 13:30:00,,3995.5,,140.13,107424.38292103227,1855.2000241824078,107376.52767927852,-107418.37026810322,107370.51502634946,-0.0004467273010426709,1.073765276792787,0.00128643978638876
